movie_id,title,overview,language,rating,genres,keywords,is_regional
381288,Split,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.",en,7.341,"['Horror', 'Thriller']","['child abuse', 'philadelphia, pennsylvania', 'kidnapping', 'gore', 'sequel', 'stalking', 'teenage girl', 'super power', 'mental illness', 'split personality', 'multiple personality', 'traumatic childhood', 'dissociative identity disorder', 'psychological horror', 'bitter', 'defiant', 'frightened']",
244998,Senario XX,"One alien crashed in a small village in Malaysia, create havoc with the villagers. To make it worst, there is some bad alien who pursue him.",ms,0.0,"['Comedy', 'Adventure', 'Action']",[],
20352,Despicable Me,"Gru is a supervillain determined to prove he’s the greatest by stealing the Moon. To pull off his plan, he adopts three orphaned girls—Margo, Edith, and Agnes—intending to use them as part of his scheme. However, as Gru bonds with the girls, his cold, villainous exterior begins to melt.",en,7.3,"['Family', 'Comedy', 'Animation', 'Science Fiction', 'Crime']","['moon', 'parent child relationship', 'orphanage', 'villain', 'adoptive father', ""life's dream"", 'rivalry', 'ballet', 'stealing', 'little girl', 'orphan', 'tomboy', 'intelligent', 'evil doctor', 'duringcreditsstinger', 'supervillain', 'joyful']",
792001,Amor Bandido,"Joan is a naïve, 16-year-old who falls in love easily. One day he decides to escape to the provinces with Luciana, a beautiful 35-year-old woman and a teacher at his school, in order to give free rein to his love. Soon, Joan discovers with horror that he has fallen into a trap that is a mix between sex, money, politics and violence.",es,6.7,"['Thriller', 'Romance', 'Drama']",[],
537915,After,"Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa's guarded world opens up when she meets Hardin Scott, a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life.",en,7.11,"['Romance', 'Drama']","['based on novel or book', 'love', 'teenage crush', 'teenage romance', 'bad boy', 'mysterious', 'angry', 'ambiguous']",
16859,Kiki's Delivery Service,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",ja,7.83,"['Animation', 'Family', 'Fantasy', 'Drama']","['witch', 'clock tower', 'bicycle accident', 'female friendship', 'bakery', 'coming of age', ""based on children's book"", 'cartoon cat', 'cartoon dog', 'baking', 'seaside town', 'talking cat', 'courier service', 'delivery service', 'anime', 'relaxed', 'lighthearted', 'adventure', 'empathetic', 'gentle']",
744,Top Gun,"For Lieutenant Pete 'Maverick' Mitchell and his friend and co-pilot Nick 'Goose' Bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. But a tragedy, as well as personal demons, will threaten Pete's dreams of becoming an ace pilot.",en,7.059,"['Action', 'Drama', 'Romance']","['dying and death', 'secret love', 'lovesickness', 'airplane', 'loss of loved one', 'self-discovery', 'hostility', 'fighter pilot', 'pilot', 'training camp', 'battle assignment', 'u.s. navy', 'cowardliness', 'homoeroticism', 'pilot school', 'based on magazine, newspaper or article', 'admiring', 'celebratory', 'commanding', 'exuberant']",
1319951,40 Acres,"Hailey Freeman and her family are the last descendants of African American farmers who settled in rural Canada after the Civil War. In a famine-decimated near future, they now struggle to safeguard their farm, as they make one last stand against a vicious militia hell-bent on taking their 40 Acres.",en,6.4,"['Action', 'Thriller', 'Drama', 'Science Fiction']",[],
474350,It Chapter Two,"27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call.",en,6.841,"['Horror', 'Thriller', 'Drama']","['based on novel or book', 'clown', 'carnival', 'sequel', 'remake', 'maine', 'creature', 'fear', 'lgbt', 'grim', 'ancient evil', 'loss of a friend', 'ambiguous', 'frightened', 'gloomy']",
9757,Norbit,"A mild-mannered guy who is engaged to a monstrous woman meets the woman of his dreams, and schemes to find a way to be with her.",en,5.7,['Comedy'],"['orphanage', 'overweight woman']",
1499984,Gladiator Underground,"Two brothers compete in the world's deadliest underground fighting tournament, where they must decide whether to play by the rules or to cast their honor aside and team up to bring down the dark syndicate running the tournament.",en,7.306,['Action'],[],
41446,Scream 4,"Fifteen years after the original Woodsboro murders, Sidney Prescott returns home to promote her new book about surviving trauma, only for a new Ghostface killer to emerge, targeting a new group of teens.",en,6.477,"['Horror', 'Mystery']","['rescue', 'mask', 'sheriff', 'jealousy', 'dark comedy', 'victim', 'knife', 'self-inflicted injury', 'sequel', 'sociopath', 'murder', 'house party', 'teen movie', 'serial killer', 'author', 'hospital', 'slasher', 'home invasion', 'self-referential', 'cousin relationship', 'phone call', 'satirical', 'millennials', 'publicist', 'fame-seeking', 'new generation', 'return to hometown', 'masked killer', 'absurd', 'remakes', 'amused']",
630,The Wizard of Oz,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",en,7.586,"['Adventure', 'Fantasy', 'Family']","['witch', 'adolescence', 'dreams', 'based on novel or book', 'secret identity', 'lion', 'tornado', 'twister', 'scarecrow', 'villain', 'musical', 'kansas, usa', 'imaginary land', 'cowardliness', 'monkey', 'female villain', 'fantasy world', 'wizard', 'speculative', 'hourglass', 'christmas', 'red shoes', 'based on young adult novel', 'tin man', 'introspective', 'inspirational', 'espantalho', 'bruxa', 'amused', 'cachorro', 'trying to get home', 'leão', 'balão de ar quente']",
983832,Crooks,A group of criminals must rethink their plan of leaving town following a successful bank heist when they are double-crossed by a member of their own crew.,en,0.0,"['Crime', 'Thriller']",[],
79871,Crazy Love,"What was supposed to be summer school in England becomes an adventurous exotic and romantic journey for a beautiful teenage girl. [from the Tai Seng Catalog] A nice story of a free-sprited (or, depending on your viewpoint, prick-teasing) young woman on a short journey of discovery.",cn,6.3,"['Comedy', 'Romance', 'Drama']",[],
1294203,My Fault: London,"18-year-old Noah moves from America to London, with her mother who's recently fallen in love with William, a wealthy British businessman. Noah meets William’s son, bad-boy Nick, and soon discovers there is an attraction between them neither can avoid. As Noah spends the summer adjusting to her new life, her devastating past will catch up with her while falling in love for the first time.",en,7.4,"['Drama', 'Romance']","['based on novel or book', 'release from prison', 'estranged father']",
1206008,Ella McCay,"An idealistic young politician juggles familial issues and a challenging work life while preparing to take over the job of her mentor, the state’s longtime incumbent governor.",en,5.526,"['Comedy', 'Drama']","['politics', 'aunt', 'dysfunctional family', 'political scandal', 'governer', 'absurd', 'ambiguous', 'baffled', 'woman']",
